supplier_name,total_contract_gbp,number_of_awards
Gel Engineering Ltd,23108525.00,1
JACOPA LTD,23108525.00,1
Nightjar Engineering & Construction Limited,23108525.00,1
WGM Engineering,13000000.00,1
Barhale Ltd,13000000.00,1
Binnies UK Ltd,13000000.00,1
Ward and Burke Construction Ltd,13000000.00,1
Tone Scaffolding,12000000.00,1
Formula Scaffolding,12000000.00,1
Esher Scaffolding Group,12000000.00,1
First Safety Scaffolding,12000000.00,1
AVK UK Ltd,8193880.00,1
Glenfield Invicta Ltd,8193880.00,1
Auma Actuators Ltd,8193880.00,1
AVK UK Limited,8193880.00,1
Rotork UK Ltd,8193880.00,1
HVL Solutions Ltd,8193880.00,1
Deloitte LLP,6000000.00,1
Detectronic,5486140.00,1
IETG Limited,5486140.00,1
Metasphere Ltd,5486140.00,1
H W M Water Ltd,5486140.00,1
DMSLive,5486140.00,1
Fisher German LLP,4000000.00,1
Enviromontel,3477200.00,1
Skewb Limited,3406160.00,1
IMServ Europe Limited,2500000.00,1
SKEWB LIMITED,2500000.00,1
Murphy Geospatial UK Limited,2093000.00,1
Texo Group Limited,2093000.00,1
SOCOTEC UK LIMITED,2093000.00,1
RPS Environmental Management Limited,2093000.00,1
WSP UK Limited,2093000.00,1
Lloyds British,2080000.00,1
GAP Group,2080000.00,1
Street Cranexpress ltd,2080000.00,1
Coussens of Bexhill Ltd,2080000.00,1
Arco Limited,1664000.00,1
Crossland Tankers Limited,1291528.00,1
C. C. JENSEN LIMITED,1250000.00,1
Southern Water Services Limited,723311.07,1
Sedgwick International UK Ltd,542000.00,1
ServiceMaster Limited,535925.00,1
Pinsent Masons LLP,500000.00,1
GX Environmental Limited,479800.00,1
Create 51 Limited,315000.00,1
SOUTHERN WATER LIMITED,200000.00,1
WATER RESEARCH CENTRE LIMITED,196470.00,1
Breathe Safety Limited,87145.00,1
Chichester College Group,87145.00,1
Newsquest Media Group Ltd,0.00,1
Oliver and Graimes Design Associates Limited,0.00,1
Impero Design Ltd,0.00,1
Built Environment Communications Group Limited,0.00,1
Bold Content Video Limited,0.00,1
Dentons Global Advisors UK ltd,0.00,1
Mediaworks UK Limited,0.00,1
Bauer Radio Limited,0.00,1
Portland PR Limited,0.00,1
Create 51 Ltd,0.00,1
Tuskerdirect Ltd,0.00,1
